target,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r
Flower_num,rel_r1_EVI_mean,33,-0.6120498482647568,0.000153652297487105,-0.7016531531645023,5.3780073420319016e-06,0.6120498482647568,0.7016531531645023
Flower_num,diff_r1_EVI_mean,33,-0.6094292862970115,0.00016692474972006803,-0.6993025563364804,5.962714573189143e-06,0.6094292862970115,0.6993025563364804
Flower_num,0510_r1_EVI_mean,33,-0.6112430919187615,0.00015763407369366974,-0.6823446792200376,1.221011688610453e-05,0.6112430919187615,0.6823446792200376
Flower_num,0510_r1_ND_B3_B5_mean,33,0.593151592337722,0.00027485773729553863,0.6726064923610902,1.8048353614398025e-05,0.593151592337722,0.6726064923610902
Flower_num,0510_r1_RENDVI2_mean,33,-0.593151592337722,0.00027485773729553863,-0.6726064923610902,1.8048353614398025e-05,0.593151592337722,0.6726064923610902
Flower_num,0510_r1_RVI_mean,33,-0.6122329325440079,0.00015276129111969645,-0.6702558955330684,1.979126012911922e-05,0.6122329325440079,0.6702558955330684
Flower_num,0510_r1_SAVI_mean,33,-0.5890766949448196,0.00031012049530778214,-0.6702558955330684,1.979126012911922e-05,0.5890766949448196,0.6702558955330684
Flower_num,0510_r1_ND_B3_B6_mean,33,0.5890719090038475,0.0003101641715549567,0.6702558955330684,1.979126012911922e-05,0.5890719090038475,0.6702558955330684
Flower_num,0510_r1_NDVI_mean,33,-0.5890719090038475,0.0003101641715549567,-0.6702558955330684,1.979126012911922e-05,0.5890719090038475,0.6702558955330684
Flower_num,0510_r1_ND_B3_B4_mean,33,0.6295249096577796,8.674009347081006e-05,0.6668979000644659,2.2545441898918057e-05,0.6295249096577796,0.6668979000644659
Flower_num,0510_r1_RENDVI1_mean,33,-0.6295249096577796,8.674009347081006e-05,-0.6668979000644659,2.2545441898918057e-05,0.6295249096577796,0.6668979000644659
Flower_num,ratio_r0p5_DVI_mean,33,-0.6297790908731694,8.599966304845184e-05,-0.6630362052755729,2.61374235072207e-05,0.6297790908731694,0.6630362052755729
Flower_num,rel_r0p5_DVI_mean,33,-0.6297790908731694,8.599966304845184e-05,-0.6630362052755729,2.61374235072207e-05,0.6297790908731694,0.6630362052755729
Flower_num,ratio_r1_DVI_mean,33,-0.618452676695182,0.00012510426333673318,-0.6613572075412717,2.785431747663786e-05,0.618452676695182,0.6613572075412717
Flower_num,rel_r1_DVI_mean,33,-0.618452676695182,0.00012510426333673318,-0.6613572075412717,2.785431747663786e-05,0.618452676695182,0.6613572075412717
Flower_num,rel_r1_RENDVI1_mean,33,-0.5980436885596635,0.00023726785430433747,-0.660349808900691,2.8932667809355504e-05,0.5980436885596635,0.660349808900691
Flower_num,ratio_r1_RENDVI1_mean,33,-0.5980436885596634,0.00023726785430433907,-0.660349808900691,2.8932667809355504e-05,0.5980436885596634,0.660349808900691
Flower_num,0510_r1_DVI_mean,33,-0.630388784479329,8.424668292465862e-05,-0.6566560138852282,3.321655085255906e-05,0.630388784479329,0.6566560138852282
Flower_num,diff_r1_ND_B3_B4_mean,33,0.5839322161874623,0.00036035069514228884,0.651115321362034,4.0719566642264016e-05,0.5839322161874623,0.651115321362034
Flower_num,diff_r1_RENDVI1_mean,33,-0.5839322161874623,0.00036035069514228884,-0.651115321362034,4.0719566642264016e-05,0.5839322161874623,0.651115321362034
Flower_num,rel_r0p5_B6_p25,33,-0.5664909320816844,0.0005886762173068255,-0.651115321362034,4.0719566642264016e-05,0.5664909320816844,0.651115321362034
Flower_num,ratio_r0p5_B6_p25,33,-0.5664909320816843,0.0005886762173068291,-0.651115321362034,4.0719566642264016e-05,0.5664909320816843,0.651115321362034
