target,scale,feature,feature_type,date_type,statistic,n,pearson_r,pearson_p,spearman_r,spearman_p,fdr_q_within_scale,fdr_q_global,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,max_stat_permutation_p,stability_status
Flower_rat,r0p3,diff_r0p3_B5_mean,raw_band,diff,mean,33,-0.49034445976271623,0.0037684144778866923,-0.5826122138025419,0.00037435070881726017,0.008053707241251448,0.007967730094483367,-0.7775675197165209,-0.2908274853096979,0.068,0.1705,0.267,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,rel_r0p3_B6_p25,raw_band,rel,p25,33,-0.5615975618387906,0.000672326403529875,-0.5811011158416708,0.00039096850559853494,0.008053707241251448,0.007967730094483367,-0.7650807829785895,-0.30497423868668033,0.0075,0.0765,0.175,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,ratio_r0p3_B6_p25,raw_band,ratio,p25,33,-0.5615975618387907,0.0006723264035298709,-0.5811011158416708,0.00039096850559853494,0.008053707241251448,0.007967730094483367,-0.7650807829785895,-0.30497423868668033,0.013,0.082,0.1785,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,ratio_r0p3_DVI_median,predefined_index,ratio,median,33,-0.5589435503882756,0.0007219481742572832,-0.5767357217324875,0.0004427123058271315,0.008053707241251448,0.007967730094483367,-0.7724189222695962,-0.28794085601000463,0.0,0.025,0.077,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,rel_r0p3_DVI_median,predefined_index,rel,median,33,-0.5589435503882756,0.0007219481742572832,-0.5767357217324875,0.0004427123058271315,0.008053707241251448,0.007967730094483367,-0.7724189222695962,-0.28794085601000463,0.0015,0.02,0.0735,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,ratio_r0p3_B5_mean,raw_band,ratio,mean,33,-0.48560799533204363,0.004173024896124499,-0.5710271294358632,0.0005194920335544854,0.008053707241251448,0.007967730094483367,-0.7691004636933161,-0.27117388957346245,0.0115,0.1295,0.2195,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,rel_r0p3_B5_mean,raw_band,rel,mean,33,-0.485607995332044,0.00417302489612446,-0.5710271294358632,0.0005194920335544854,0.008053707241251448,0.007967730094483367,-0.7691004636933161,-0.27117388957346245,0.0075,0.1285,0.2165,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,diff_r0p3_B6_p25,raw_band,diff,p25,33,-0.5681160153719315,0.0005630078511925658,-0.5695160314749921,0.0005416934850972838,0.008053707241251448,0.007967730094483367,-0.7644026648982171,-0.29178145219151674,0.023,0.0775,0.157,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,0510_r0p3_B6_p75,raw_band,0510,p75,33,-0.5137551443746553,0.0022275779381992467,-0.5685086328344112,0.0005569569208689319,0.008053707241251448,0.007967730094483367,-0.7605765571527853,-0.29066325554819805,0.008,0.071,0.143,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,diff_r0p3_DVI_median,predefined_index,diff,median,33,-0.5501298955357335,0.0009107076219599018,-0.5658222364595292,0.0005995352326869574,0.008053707241251448,0.007967730094483367,-0.7592025916173132,-0.2737098191130878,0.0065,0.0255,0.072,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,0510_r0p3_ND_B1_B3_mean,pairwise_nd,0510,mean,33,-0.5590748436375071,0.0007194194834983195,-0.5607852432566254,0.0006871842149444536,0.008053707241251448,0.008326530812249027,-0.8034803449963754,-0.21843925539342213,0.0155,0.073,0.146,0.006993006993006993,unstable_or_not_bootstrapped
Flower_rat,r0p3,0510_r0p3_RENDVI1_mean,predefined_index,0510,mean,33,-0.5266667675805938,0.0016400666933387327,-0.5569235484677325,0.0007618538626419691,0.008053707241251448,0.008563971733071774,-0.7830242686179555,-0.22788163996750682,0.003,0.0365,0.093,0.006993006993006993,unstable_or_not_bootstrapped
